Slug,Page_URL,Location_Name,Location_Class,Region,Image_Tier,Image_Filename,Alt_Layer1_Geo,Alt_Layer2_Rendered_Template,Image_License,Image_Attribution,Wikidata_QID,Asset_Status
rockwood,/areas/rockwood,Rockwood,CSD,Interlake,region,rockwood-interlake-mb.webp,"RM of Rockwood, Interlake Manitoba — limestone-plain country around Stonewall with Oak Hammock Marsh","{SERVICE_CATEGORY} in Rockwood, Manitoba — RM of Rockwood, Interlake Manitoba — limestone-plain country around Stonewall with Oak Hammock Marsh",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
rosser,/areas/rosser,Rosser,CSD,Interlake,region,rosser-interlake-mb.webp,"RM of Rosser, Interlake Manitoba — CentrePort-area farm and rural-residential country on Winnipeg's northwest edge","{SERVICE_CATEGORY} in Rosser, Manitoba — RM of Rosser, Interlake Manitoba — CentrePort-area farm and rural-residential country on Winnipeg's northwest edge",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
selkirk,/areas/selkirk,Selkirk,CSD,Interlake,region,selkirk-interlake-mb.webp,"Selkirk, Interlake Manitoba — steel city on the Red River and southern gateway to the Interlake","{SERVICE_CATEGORY} in Selkirk, Manitoba — Selkirk, Interlake Manitoba — steel city on the Red River and southern gateway to the Interlake",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
st-andrews,/areas/st-andrews,St. Andrews,CSD,Interlake,region,st-andrews-interlake-mb.webp,"RM of St. Andrews, Interlake Manitoba — River Road riverfront heritage corridor on the Red River north of Winnipeg","{SERVICE_CATEGORY} in St. Andrews, Manitoba — RM of St. Andrews, Interlake Manitoba — River Road riverfront heritage corridor on the Red River north of Winnipeg",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
st-clements,/areas/st-clements,St. Clements,CSD,Interlake,region,st-clements-interlake-mb.webp,"RM of St. Clements, Interlake Manitoba — Red River east bank reaching to Grand Beach on Lake Winnipeg","{SERVICE_CATEGORY} in St. Clements, Manitoba — RM of St. Clements, Interlake Manitoba — Red River east bank reaching to Grand Beach on Lake Winnipeg",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
st-laurent,/areas/st-laurent,St. Laurent,CSD,Interlake,region,st-laurent-interlake-mb.webp,"RM of St. Laurent, Interlake Manitoba — Métis fishing community on Lake Manitoba's low-lying east shore","{SERVICE_CATEGORY} in St. Laurent, Manitoba — RM of St. Laurent, Interlake Manitoba — Métis fishing community on Lake Manitoba's low-lying east shore",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
stonewall,/areas/stonewall,Stonewall,CSD,Interlake,region,stonewall-interlake-mb.webp,"Stonewall, Interlake Manitoba — limestone quarry town on the southern Interlake plain north of Winnipeg","{SERVICE_CATEGORY} in Stonewall, Manitoba — Stonewall, Interlake Manitoba — limestone quarry town on the southern Interlake plain north of Winnipeg",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
stony-mountain,/areas/stony-mountain,Stony Mountain,COMMUNITY,Interlake,region,stony-mountain-interlake-mb.webp,"Stony Mountain, Interlake Manitoba — limestone-rise commuter community on the plain north of Winnipeg","{SERVICE_CATEGORY} in Stony Mountain, Manitoba — Stony Mountain, Interlake Manitoba — limestone-rise commuter community on the plain north of Winnipeg",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
teulon,/areas/teulon,Teulon,CSD,Interlake,region,teulon-interlake-mb.webp,"Teulon, Interlake Manitoba — north-Interlake service town on the limestone plain","{SERVICE_CATEGORY} in Teulon, Manitoba — Teulon, Interlake Manitoba — north-Interlake service town on the limestone plain",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
warren,/areas/warren,Warren,COMMUNITY,Interlake,region,warren-interlake-mb.webp,"Warren, Interlake Manitoba — western-Interlake limestone-plain community in the RM of Woodlands","{SERVICE_CATEGORY} in Warren, Manitoba — Warren, Interlake Manitoba — western-Interlake limestone-plain community in the RM of Woodlands",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
west-st-paul,/areas/west-st-paul,West St. Paul,CSD,Interlake,region,west-st-paul-interlake-mb.webp,"RM of West St. Paul, Interlake Manitoba — fast-growing commuter municipality on Winnipeg's north edge on the Red River","{SERVICE_CATEGORY} in West St. Paul, Manitoba — RM of West St. Paul, Interlake Manitoba — fast-growing commuter municipality on Winnipeg's north edge on the Red River",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
winnipeg-beach,/areas/winnipeg-beach,Winnipeg Beach,CSD,Interlake,region,winnipeg-beach-interlake-mb.webp,"Winnipeg Beach, Interlake Manitoba — historic Lake Winnipeg west-shore resort town with its boardwalk","{SERVICE_CATEGORY} in Winnipeg Beach, Manitoba — Winnipeg Beach, Interlake Manitoba — historic Lake Winnipeg west-shore resort town with its boardwalk",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
woodlands,/areas/woodlands,Woodlands,CSD,Interlake,region,woodlands-interlake-mb.webp,"RM of Woodlands, Interlake Manitoba — limestone-plain farm and acreage country at Warren west of Winnipeg","{SERVICE_CATEGORY} in Woodlands, Manitoba — RM of Woodlands, Interlake Manitoba — limestone-plain farm and acreage country at Warren west of Winnipeg",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
flin-flon-part,/areas/flin-flon-part,Flin Flon,CSD,Northern Manitoba,region,flin-flon-part-northern-manitoba-mb.webp,"Flin Flon, Northern Manitoba — mining city built on bare Canadian Shield granite at the Saskatchewan border","{SERVICE_CATEGORY} in Flin Flon, Manitoba — Flin Flon, Northern Manitoba — mining city built on bare Canadian Shield granite at the Saskatchewan border",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
norway-house,/areas/norway-house,Norway House,COMMUNITY,Northern Manitoba,region,norway-house-northern-manitoba-mb.webp,"Norway House, Northern Manitoba — historic Cree community where Lake Winnipeg drains into the Nelson River","{SERVICE_CATEGORY} in Norway House, Manitoba — Norway House, Northern Manitoba — historic Cree community where Lake Winnipeg drains into the Nelson River",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
the-pas,/areas/the-pas,The Pas,CSD,Northern Manitoba,region,the-pas-northern-manitoba-mb.webp,"The Pas, Northern Manitoba — rail-and-river gateway town on the Saskatchewan River in the boreal lowlands","{SERVICE_CATEGORY} in The Pas, Manitoba — The Pas, Northern Manitoba — rail-and-river gateway town on the Saskatchewan River in the boreal lowlands",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
thompson,/areas/thompson,Thompson,CSD,Northern Manitoba,region,thompson-northern-manitoba-mb.webp,"Thompson, Northern Manitoba — nickel-mining city on the Burntwood River in the boreal Canadian Shield","{SERVICE_CATEGORY} in Thompson, Manitoba — Thompson, Northern Manitoba — nickel-mining city on the Burntwood River in the boreal Canadian Shield",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
alonsa,/areas/alonsa,Alonsa,CSD,Parkland,region,alonsa-parkland-mb.webp,"RM of Alonsa, Parkland Manitoba — ranch and lakeshore country along Lake Manitoba's west shore","{SERVICE_CATEGORY} in Alonsa, Manitoba — RM of Alonsa, Parkland Manitoba — ranch and lakeshore country along Lake Manitoba's west shore",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
dauphin,/areas/dauphin,Dauphin,CSD,Parkland,region,dauphin-parkland-mb.webp,"Dauphin, Parkland Manitoba — valley city on the Vermillion River between Riding Mountain and Duck Mountain","{SERVICE_CATEGORY} in Dauphin, Manitoba — Dauphin, Parkland Manitoba — valley city on the Vermillion River between Riding Mountain and Duck Mountain",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
dauphin-rm,/areas/dauphin-rm,Dauphin,CSD,Parkland,region,dauphin-rm-parkland-mb.webp,"Rural Municipality of Dauphin, Parkland Manitoba — farmland ring between Riding Mountain's north side and Dauphin Lake","{SERVICE_CATEGORY} in Dauphin, Manitoba — Rural Municipality of Dauphin, Parkland Manitoba — farmland ring between Riding Mountain's north side and Dauphin Lake",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
gilbert-plains,/areas/gilbert-plains,Gilbert Plains,CSD,Parkland,region,gilbert-plains-parkland-mb.webp,"RM of Gilbert Plains, Parkland Manitoba — Valley River grain country at the foot of the Duck Mountains","{SERVICE_CATEGORY} in Gilbert Plains, Manitoba — RM of Gilbert Plains, Parkland Manitoba — Valley River grain country at the foot of the Duck Mountains",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
grandview,/areas/grandview,Grandview,CSD,Parkland,region,grandview-parkland-mb.webp,"RM of Grandview, Parkland Manitoba — Valley River grain country along the Duck Mountain foothills","{SERVICE_CATEGORY} in Grandview, Manitoba — RM of Grandview, Parkland Manitoba — Valley River grain country along the Duck Mountain foothills",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
mccreary,/areas/mccreary,McCreary,CSD,Parkland,region,mccreary-parkland-mb.webp,"RM of McCreary, Parkland Manitoba — farmland at the northern foot of the Riding Mountain escarpment","{SERVICE_CATEGORY} in McCreary, Manitoba — RM of McCreary, Parkland Manitoba — farmland at the northern foot of the Riding Mountain escarpment",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
mossey-river,/areas/mossey-river,Mossey River,CSD,Parkland,region,mossey-river-parkland-mb.webp,"RM of Mossey River, Parkland Manitoba — Winnipegosis fishing town on the east shore of Lake Winnipegosis","{SERVICE_CATEGORY} in Mossey River, Manitoba — RM of Mossey River, Parkland Manitoba — Winnipegosis fishing town on the east shore of Lake Winnipegosis",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
rossburn,/areas/rossburn,Rossburn,CSD,Parkland,region,rossburn-parkland-mb.webp,"RM of Rossburn, Parkland Manitoba — farm and recreation country by the Asessippi valley and Lake of the Prairies","{SERVICE_CATEGORY} in Rossburn, Manitoba — RM of Rossburn, Parkland Manitoba — farm and recreation country by the Asessippi valley and Lake of the Prairies",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
ste-rose,/areas/ste-rose,Ste. Rose,CSD,Parkland,region,ste-rose-parkland-mb.webp,"Ste. Rose, Parkland Manitoba — Turtle River cattle country between the escarpment and Lake Manitoba","{SERVICE_CATEGORY} in Ste. Rose, Manitoba — Ste. Rose, Parkland Manitoba — Turtle River cattle country between the escarpment and Lake Manitoba",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
swan-river,/areas/swan-river,Swan River,CSD,Parkland,region,swan-river-parkland-mb.webp,"Swan River, Parkland Manitoba — valley farm town between the Duck and Porcupine mountains","{SERVICE_CATEGORY} in Swan River, Manitoba — Swan River, Parkland Manitoba — valley farm town between the Duck and Porcupine mountains",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
altona,/areas/altona,Altona,CSD,Pembina Valley,region,altona-pembina-valley-mb.webp,"Altona, Pembina Valley Manitoba — sunflower-capital town on the deep Red River Valley floor","{SERVICE_CATEGORY} in Altona, Manitoba — Altona, Pembina Valley Manitoba — sunflower-capital town on the deep Red River Valley floor",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
argyle,/areas/argyle,Argyle,CSD,Pembina Valley,region,argyle-pembina-valley-mb.webp,"RM of Argyle, Pembina Valley Manitoba — southwestern hill-country farm land at Baldur and Belmont","{SERVICE_CATEGORY} in Argyle, Manitoba — RM of Argyle, Pembina Valley Manitoba — southwestern hill-country farm land at Baldur and Belmont",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
carman,/areas/carman,Carman,CSD,Pembina Valley,region,carman-pembina-valley-mb.webp,"Carman, Pembina Valley Manitoba — Boyne River agricultural town in the valley's north","{SERVICE_CATEGORY} in Carman, Manitoba — Carman, Pembina Valley Manitoba — Boyne River agricultural town in the valley's north",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
dufferin,/areas/dufferin,Dufferin,CSD,Pembina Valley,region,dufferin-pembina-valley-mb.webp,"RM of Dufferin, Pembina Valley Manitoba — Boyne River seed-and-grain farm country around Carman","{SERVICE_CATEGORY} in Dufferin, Manitoba — RM of Dufferin, Pembina Valley Manitoba — Boyne River seed-and-grain farm country around Carman",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
lorne,/areas/lorne,Lorne,CSD,Pembina Valley,region,lorne-pembina-valley-mb.webp,"RM of Lorne, Pembina Valley Manitoba — Pembina Hills escarpment farm country at Manitou and Somerset","{SERVICE_CATEGORY} in Lorne, Manitoba — RM of Lorne, Pembina Valley Manitoba — Pembina Hills escarpment farm country at Manitou and Somerset",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
louise,/areas/louise,Louise,CSD,Pembina Valley,region,louise-pembina-valley-mb.webp,"RM of Louise, Pembina Valley Manitoba — Pembina Hills farm country at Crystal City and Pilot Mound near the border","{SERVICE_CATEGORY} in Louise, Manitoba — RM of Louise, Pembina Valley Manitoba — Pembina Hills farm country at Crystal City and Pilot Mound near the border",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
montcalm,/areas/montcalm,Montcalm,CSD,Pembina Valley,region,montcalm-pembina-valley-mb.webp,"RM of Montcalm, Pembina Valley Manitoba — francophone ring-diked flood-plain country at St. Jean Baptiste","{SERVICE_CATEGORY} in Montcalm, Manitoba — RM of Montcalm, Pembina Valley Manitoba — francophone ring-diked flood-plain country at St. Jean Baptiste",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
morden,/areas/morden,Morden,CSD,Pembina Valley,region,morden-pembina-valley-mb.webp,"Morden, Pembina Valley Manitoba — fast-growing town at the toe of the Manitou Escarpment by Lake Minnewasta","{SERVICE_CATEGORY} in Morden, Manitoba — Morden, Pembina Valley Manitoba — fast-growing town at the toe of the Manitou Escarpment by Lake Minnewasta",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
morris,/areas/morris,Morris,CSD,Pembina Valley,region,morris-pembina-valley-mb.webp,"Morris, Pembina Valley Manitoba — ring-diked Highway 75 town at the Morris and Red river junction","{SERVICE_CATEGORY} in Morris, Manitoba — Morris, Pembina Valley Manitoba — ring-diked Highway 75 town at the Morris and Red river junction",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
morris-rm,/areas/morris-rm,Morris,CSD,Pembina Valley,region,morris-rm-pembina-valley-mb.webp,"RM of Morris, Pembina Valley Manitoba — Red River Valley flood-plain farm country around the Stampede town","{SERVICE_CATEGORY} in Morris, Manitoba — RM of Morris, Pembina Valley Manitoba — Red River Valley flood-plain farm country around the Stampede town",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
pembina,/areas/pembina,Pembina,CSD,Pembina Valley,region,pembina-pembina-valley-mb.webp,"RM of Pembina, Pembina Valley Manitoba — Pembina gorge and escarpment country at La Rivière","{SERVICE_CATEGORY} in Pembina, Manitoba — RM of Pembina, Pembina Valley Manitoba — Pembina gorge and escarpment country at La Rivière",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
rhineland,/areas/rhineland,Rhineland,CSD,Pembina Valley,region,rhineland-pembina-valley-mb.webp,"RM of Rhineland, Pembina Valley Manitoba — Mennonite West Reserve sunflower country around Altona and Neubergthal","{SERVICE_CATEGORY} in Rhineland, Manitoba — RM of Rhineland, Pembina Valley Manitoba — Mennonite West Reserve sunflower country around Altona and Neubergthal",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
roland,/areas/roland,Roland,CSD,Pembina Valley,region,roland-pembina-valley-mb.webp,"RM of Roland, Pembina Valley Manitoba — central Red River Valley grain-farm country at the Pumpkin Capital","{SERVICE_CATEGORY} in Roland, Manitoba — RM of Roland, Pembina Valley Manitoba — central Red River Valley grain-farm country at the Pumpkin Capital",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
stanley,/areas/stanley,Stanley,CSD,Pembina Valley,region,stanley-pembina-valley-mb.webp,"RM of Stanley, Pembina Valley Manitoba — Mennonite West Reserve farm belt surrounding Winkler and Morden","{SERVICE_CATEGORY} in Stanley, Manitoba — RM of Stanley, Pembina Valley Manitoba — Mennonite West Reserve farm belt surrounding Winkler and Morden",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
thompson-rm,/areas/thompson-rm,Thompson,CSD,Pembina Valley,region,thompson-rm-pembina-valley-mb.webp,"RM of Thompson, Pembina Valley Manitoba — escarpment-toe farm country at Miami where the valley meets the rising land","{SERVICE_CATEGORY} in Thompson, Manitoba — RM of Thompson, Pembina Valley Manitoba — escarpment-toe farm country at Miami where the valley meets the rising land",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
winkler,/areas/winkler,Winkler,CSD,Pembina Valley,region,winkler-pembina-valley-mb.webp,"Winkler, Pembina Valley Manitoba — fast-growing manufacturing city near the Manitou Escarpment","{SERVICE_CATEGORY} in Winkler, Manitoba — Winkler, Pembina Valley Manitoba — fast-growing manufacturing city near the Manitou Escarpment",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
brandon,/areas/brandon,Brandon,CSD,Westman,region,brandon-westman-mb.webp,"Brandon, Westman Manitoba — Assiniboine River valley below the prairie benches","{SERVICE_CATEGORY} in Brandon, Manitoba — Brandon, Westman Manitoba — Assiniboine River valley below the prairie benches",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
carberry,/areas/carberry,Carberry,CSD,Westman,region,carberry-westman-mb.webp,"Carberry, Westman Manitoba — potato-country town by the Carberry sandhills and Spruce Woods","{SERVICE_CATEGORY} in Carberry, Manitoba — Carberry, Westman Manitoba — potato-country town by the Carberry sandhills and Spruce Woods",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
cornwallis,/areas/cornwallis,Cornwallis,CSD,Westman,region,cornwallis-westman-mb.webp,"Cornwallis, Westman Manitoba — Brandon Hills rising over farmland south of the city","{SERVICE_CATEGORY} in Cornwallis, Manitoba — Cornwallis, Westman Manitoba — Brandon Hills rising over farmland south of the city",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
elton,/areas/elton,Elton,CSD,Westman,region,elton-westman-mb.webp,"RM of Elton, Westman Manitoba — farmland northeast of Brandon around Forrest","{SERVICE_CATEGORY} in Elton, Manitoba — RM of Elton, Westman Manitoba — farmland northeast of Brandon around Forrest",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
hamiota,/areas/hamiota,Hamiota,CSD,Westman,region,hamiota-westman-mb.webp,"Hamiota, Westman Manitoba — grain-country town and farm municipality northwest of Brandon","{SERVICE_CATEGORY} in Hamiota, Manitoba — Hamiota, Westman Manitoba — grain-country town and farm municipality northwest of Brandon",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
killarney-turtle-mountain,/areas/killarney-turtle-mountain,Killarney - Turtle Mountain,CSD,Westman,region,killarney-turtle-mountain-westman-mb.webp,"Killarney - Turtle Mountain, Westman Manitoba — lake-in-town community below the Turtle Mountain plateau","{SERVICE_CATEGORY} in Killarney - Turtle Mountain, Manitoba — Killarney - Turtle Mountain, Westman Manitoba — lake-in-town community below the Turtle Mountain plateau",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
melita,/areas/melita,Melita,CSD,Westman,region,melita-westman-mb.webp,"Melita, Westman Manitoba — Souris River town in the far southwestern 'banana belt' corner","{SERVICE_CATEGORY} in Melita, Manitoba — Melita, Westman Manitoba — Souris River town in the far southwestern 'banana belt' corner",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
minnedosa,/areas/minnedosa,Minnedosa,CSD,Westman,region,minnedosa-westman-mb.webp,"Minnedosa, Westman Manitoba — town terraced into the Little Saskatchewan River valley around Minnedosa Lake","{SERVICE_CATEGORY} in Minnedosa, Manitoba — Minnedosa, Westman Manitoba — town terraced into the Little Saskatchewan River valley around Minnedosa Lake",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
neepawa,/areas/neepawa,Neepawa,CSD,Westman,region,neepawa-westman-mb.webp,"Neepawa, Westman Manitoba — lily-growing town where Highway 16 meets Highway 5","{SERVICE_CATEGORY} in Neepawa, Manitoba — Neepawa, Westman Manitoba — lily-growing town where Highway 16 meets Highway 5",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
oakview,/areas/oakview,Oakview,CSD,Westman,region,oakview-westman-mb.webp,"Oakview, Westman Manitoba — Rapid City and Oak River farmland in the Little Saskatchewan valley","{SERVICE_CATEGORY} in Oakview, Manitoba — Oakview, Westman Manitoba — Rapid City and Oak River farmland in the Little Saskatchewan valley",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
pipestone,/areas/pipestone,Pipestone,CSD,Westman,region,pipestone-westman-mb.webp,"RM of Pipestone, Westman Manitoba — oil-and-farm country around Reston in the far southwest","{SERVICE_CATEGORY} in Pipestone, Manitoba — RM of Pipestone, Westman Manitoba — oil-and-farm country around Reston in the far southwest",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
riverdale,/areas/riverdale,Riverdale,CSD,Westman,region,riverdale-westman-mb.webp,"Riverdale, Westman Manitoba — town of Rivers and Lake Wahtopanah on the Little Saskatchewan River","{SERVICE_CATEGORY} in Riverdale, Manitoba — Riverdale, Westman Manitoba — town of Rivers and Lake Wahtopanah on the Little Saskatchewan River",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
rosedale,/areas/rosedale,Rosedale,CSD,Westman,region,rosedale-westman-mb.webp,"RM of Rosedale, Westman Manitoba — farmland wrapping around Neepawa near Franklin","{SERVICE_CATEGORY} in Rosedale, Manitoba — RM of Rosedale, Westman Manitoba — farmland wrapping around Neepawa near Franklin",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
shilo,/areas/shilo,Shilo,COMMUNITY,Westman,region,shilo-westman-mb.webp,"Shilo, Westman Manitoba — CFB Shilo base community on sandy ground by the Spruce Woods sandhills","{SERVICE_CATEGORY} in Shilo, Manitoba — Shilo, Westman Manitoba — CFB Shilo base community on sandy ground by the Spruce Woods sandhills",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
sifton,/areas/sifton,Sifton,CSD,Westman,region,sifton-westman-mb.webp,"RM of Sifton, Westman Manitoba — sandy farmland around Oak Lake west of Brandon","{SERVICE_CATEGORY} in Sifton, Manitoba — RM of Sifton, Westman Manitoba — sandy farmland around Oak Lake west of Brandon",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
sioux-valley-dakota-nation,/areas/sioux-valley-dakota-nation,Sioux Valley Dakota Nation,COMMUNITY,Westman,region,sioux-valley-dakota-nation-westman-mb.webp,"Sioux Valley Dakota Nation, Westman Manitoba — Dakota community on the Assiniboine River west of Brandon","{SERVICE_CATEGORY} in Sioux Valley Dakota Nation, Manitoba — Sioux Valley Dakota Nation, Westman Manitoba — Dakota community on the Assiniboine River west of Brandon",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
virden,/areas/virden,Virden,CSD,Westman,region,virden-westman-mb.webp,"Virden, Westman Manitoba — oil-capital Trans-Canada town on the sandy till of the southwest","{SERVICE_CATEGORY} in Virden, Manitoba — Virden, Westman Manitoba — oil-capital Trans-Canada town on the sandy till of the southwest",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
whitehead,/areas/whitehead,Whitehead,CSD,Westman,region,whitehead-westman-mb.webp,"RM of Whitehead, Westman Manitoba — farmland just west of Brandon around Alexander","{SERVICE_CATEGORY} in Whitehead, Manitoba — RM of Whitehead, Westman Manitoba — farmland just west of Brandon around Alexander",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
deer-lodge,/areas/winnipeg/deer-lodge,Deer Lodge,NEIGHBORHOOD,Winnipeg Metro,region,deer-lodge-winnipeg-metro-mb.webp,"Deer Lodge, Winnipeg Manitoba — established St. James streets by the Deer Lodge Centre on Portage Avenue","{SERVICE_CATEGORY} in Deer Lodge, Manitoba — Deer Lodge, Winnipeg Manitoba — established St. James streets by the Deer Lodge Centre on Portage Avenue",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
downtown-winnipeg,/areas/winnipeg/downtown-winnipeg,Downtown Winnipeg,NEIGHBORHOOD,Winnipeg Metro,region,downtown-winnipeg-winnipeg-metro-mb.webp,"Downtown Winnipeg, Winnipeg Metro Manitoba — Portage and Main with the Exchange District warehouse blocks beyond","{SERVICE_CATEGORY} in Downtown Winnipeg, Manitoba — Downtown Winnipeg, Winnipeg Metro Manitoba — Portage and Main with the Exchange District warehouse blocks beyond",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
fort-richmond,/areas/winnipeg/fort-richmond,Fort Richmond,NEIGHBORHOOD,Winnipeg Metro,region,fort-richmond-winnipeg-metro-mb.webp,"Fort Richmond, Winnipeg Manitoba — 1960s–70s suburban streets beside the University of Manitoba on Pembina Highway","{SERVICE_CATEGORY} in Fort Richmond, Manitoba — Fort Richmond, Winnipeg Manitoba — 1960s–70s suburban streets beside the University of Manitoba on Pembina Highway",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
headingley,/areas/headingley,Headingley,CSD,Winnipeg Metro,region,headingley-winnipeg-metro-mb.webp,"Headingley, Winnipeg Metro Manitoba — Assiniboine River acreage country split by the Trans-Canada Highway","{SERVICE_CATEGORY} in Headingley, Manitoba — Headingley, Winnipeg Metro Manitoba — Assiniboine River acreage country split by the Trans-Canada Highway",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},,PENDING-SOURCE
island-lakes,/areas/winnipeg/island-lakes,Island Lakes,NEIGHBORHOOD,Winnipeg Metro,region,island-lakes-winnipeg-metro-mb.webp,"Island Lakes, Winnipeg Manitoba — southeast community built around man-made lakes and canals","{SERVICE_CATEGORY} in Island Lakes, Manitoba — Island Lakes, Winnipeg Manitoba — southeast community built around man-made lakes and canals",{IMAGE_LICENSE_TODO},{IMAGE_ASSET_TODO},Q14875040,PENDING-SOURCE
